,HB106,JC003,HB101,JC066,5470.12,JC149,5297.02,JC032,HB105,HB612,JC133,JC006,JC082,JC115,JC116,JC119,6459.07,JC138,5368.03,5175.08,5679.08,6432.09,6578.01,6765.01,JC074,JC022,JC055,JC094,HB609,HB202,HB103,JC109,HB603,JC093,JC103,HB602,HB407,JC057,JC009,JC072,HB201,HB304,JC084,JC110,JC095,HB203,JC018,JC105,JC034,JC081
6578.01,3.1143,5.5147,3.2537,4.1598,4.0342,5.0053,4.6766,5.3391,3.1902,3.2257,9.0625,4.9148,5.1319,5.3309,5.1709,7.6372,0.3617,9.8175,4.4184,5.028,3.3643,2.1053,0.0,0.5514,5.1757,4.7071,6.4835,6.6109,3.0682,1.9021,3.0197,5.9373,2.4603,6.7758,5.6578,2.5335,3.4357,3.7567,4.7469,5.7299,1.9381,3.2012,7.1351,6.0332,6.9487,2.0666,5.3679,4.4259,4.702,5.2551
6765.01,3.4778,5.9148,3.6148,4.5623,4.5676,5.4298,5.1954,5.709,3.5323,3.5739,9.4152,5.3263,5.5173,5.7266,5.6185,7.9706,0.9104,10.1532,4.9371,5.567,3.9143,2.3369,0.5514,0.0,5.537,4.9219,6.7422,6.8427,3.428,2.0192,3.3904,6.1653,2.7069,7.0175,5.8706,2.8375,3.708,3.9296,5.0891,6.1728,2.1227,3.3731,7.4619,6.4189,7.2156,2.1254,5.5802,4.6905,4.9538,5.5783
JC074,2.063,0.6474,1.9244,1.115,3.0247,0.8774,2.6299,0.203,2.0068,1.9634,3.8869,0.7097,0.3191,0.4983,1.2478,2.4846,4.9146,4.6516,2.6133,3.3654,4.2966,6.5677,5.1757,5.537,0.0,1.6795,1.8397,2.1672,2.111,3.7638,2.1561,1.7762,2.9295,2.2077,1.8071,2.7205,1.985,2.3395,0.4955,1.3654,3.5512,2.653,2.0067,0.9375,2.1535,3.8339,1.7251,1.3234,1.3287,0.4781
JC022,1.98,2.3263,1.8774,1.9545,4.047,2.4087,3.9088,1.862,1.8123,1.8202,4.8387,2.1991,1.9494,2.1722,2.8128,3.3576,4.5439,5.4648,3.8025,4.6752,4.9993,6.4959,4.7071,4.9219,1.6795,0.0,1.8676,1.9238,1.9899,2.9206,2.082,1.2462,2.2477,2.1068,0.951,2.2338,1.335,1.0338,1.3112,3.0372,2.7996,1.5659,2.8459,2.4811,2.351,2.8814,0.6608,0.5356,0.3572,1.3009
JC055,3.4913,2.175,3.358,2.8612,4.8643,2.6714,4.4427,1.8459,3.3652,3.3468,3.0785,2.5357,2.1247,2.17,2.9767,1.6605,6.2842,3.6336,4.4447,5.1534,6.1118,8.1298,6.4835,6.7422,1.8397,1.8676,0.0,0.38,3.5226,4.7668,3.5981,0.6851,4.0376,0.368,1.0219,3.9542,3.0479,2.9014,1.9856,2.8421,4.6246,3.4248,1.2241,1.8728,0.4835,4.7425,1.2699,2.0577,1.7884,1.4541
JC094,3.6873,2.5401,3.5585,3.1435,5.1852,3.0172,4.7876,2.1912,3.5497,3.5371,3.2396,2.8721,2.4634,2.525,3.3348,1.8948,6.4284,3.726,4.7801,5.5066,6.4027,8.3171,6.6109,6.8427,2.1672,1.9238,0.38,0.0,3.7142,4.8444,3.7946,0.6777,4.1524,0.2166,0.9916,4.0976,3.1846,2.9458,2.2595,3.2171,4.7199,3.4883,1.5142,2.252,0.6067,4.8003,1.2756,2.2017,1.9144,1.7503
HB609,0.0561,2.5073,0.1868,1.1851,2.4554,2.0884,2.6437,2.2811,0.178,0.1772,5.9959,1.9496,2.0954,2.3144,2.3639,4.5705,2.8197,6.7497,2.4403,3.3365,3.0993,4.6078,3.0682,3.428,2.111,1.9899,3.5226,3.7142,0.0,1.7916,0.095,3.0756,0.9766,3.8493,2.8612,0.6767,0.7363,1.4992,1.6804,2.8749,1.5437,1.2787,4.0715,2.9948,3.9626,1.9349,2.5935,1.5411,1.838,2.2002
HB202,1.8477,4.2475,1.9582,2.9695,3.8309,3.8735,4.2344,3.9546,1.8221,1.8787,7.5652,3.7235,3.8156,4.0509,4.1553,6.0935,1.8534,8.2661,3.9963,4.8248,3.8674,3.9311,1.9021,2.0192,3.7638,2.9206,4.7668,4.8444,1.7916,0.0,1.8,4.1668,0.8407,5.0257,3.8638,1.1151,1.8042,1.9131,3.2809,4.6635,0.2635,1.3592,5.5769,4.6915,5.2461,0.2562,3.5742,2.7432,2.9859,3.7137
HB103,0.1073,2.5326,0.2423,1.1963,2.3778,2.0957,2.5851,2.3217,0.272,0.2635,6.0428,1.9643,2.1274,2.3414,2.3582,4.6238,2.7642,6.8011,2.3772,3.2698,3.0052,4.5318,3.0197,3.3904,2.1561,2.082,3.5981,3.7946,0.095,1.8,0.0,3.1592,1.0016,3.9273,2.9484,0.6872,0.8307,1.5908,1.7362,2.8775,1.5475,1.3556,4.1274,3.0287,4.0349,1.9538,2.6822,1.6283,1.925,2.2621
JC109,3.0521,2.2783,2.9277,2.6191,4.7178,2.6535,4.3931,1.8565,2.9069,2.8984,3.7618,2.4804,2.0932,2.2135,3.0137,2.3273,5.7595,4.3155,4.3551,5.1375,5.8674,7.6664,5.9373,6.1653,1.7762,1.2462,0.6851,0.6777,3.0756,4.1668,3.1592,0.0,3.4777,0.8642,0.3379,3.4311,2.5179,2.2711,1.7431,3.0069,4.0425,2.8113,1.8605,2.1354,1.1534,4.1246,0.6049,1.5446,1.2516,1.3077
